ID,x,y,z,Room,angle
278973,-8688.10775489081,3409.02256416367,500.000000000003,OfficeA,7.01670929853488E-15
279042,-7588.10775489112,3409.02256416371,500,OfficeA,0
279053,-6490.10775489112,3409.02256416371,500,OfficeA,0
279071,-6072.71376885248,4675.82753300209,500,OfficeA,180
279075,-7172.71376885248,4675.8275330021,500,OfficeA,180
279079,-8270.71376885248,4675.82753300211,500,OfficeA,180
280153,-8720.14794274303,1276.31937470292,500,OfficeB,0
280157,-7620.14794274303,1276.31937470292,500,OfficeB,0
280161,-6522.14794274303,1276.31937470292,500,OfficeB,0
280240,-4657.84026677366,-4806.8756564587,500,OfficeC,180
280244,-5757.84026677366,-4806.87565645871,500,OfficeC,180
280248,-6855.84026677366,-4806.8756564587,500,OfficeC,180
280307,3731.85205725698,-2629.0510823723,500,OfficeD,0
280311,4831.85205725698,-2629.0510823723,500,OfficeD,0
280315,5929.85205725698,-2629.0510823723,500,OfficeD,0
280319,6347.24604329563,-1362.24611353392,500,OfficeD,180
280323,5247.24604329563,-1362.24611353391,500,OfficeD,180
280327,4149.24604329562,-1362.2461135339,500,OfficeD,180
280368,-685.276640282525,-2629.05108237227,500,OfficeD,0
280372,414.723359717467,-2629.05108237227,500,OfficeD,0
280376,1512.72335971748,-2629.05108237228,500,OfficeD,0
280380,1930.11734575612,-1362.24611353389,500,OfficeD,180
280384,830.117345756123,-1362.24611353388,500,OfficeD,180
280388,-267.882654243887,-1362.24611353387,500,OfficeD,180
280548,3770.65901308816,4487.67917548213,500,OfficeE,90.0000000000003
280552,3770.65901308816,3387.67917548213,500,OfficeE,90.0000000000003
280556,3770.65901308816,2289.67917548213,500,OfficeE,90.0000000000003
280560,5037.46398192654,1872.28518944348,500,OfficeE,270.000000000001
280564,5037.46398192655,2972.28518944348,500,OfficeE,270.000000000001
280568,5037.46398192656,4070.28518944348,500,OfficeE,270.000000000001
280572,911.861193429246,4485.67917548216,500,OfficeE,90.0000000000002
280576,911.861193429255,3385.67917548217,500,OfficeE,90.0000000000002
280580,911.861193429255,2287.67917548216,500,OfficeE,90.0000000000002
280584,2178.66616226764,1870.28518944352,500,OfficeE,270.000000000001
280588,2178.66616226765,2970.28518944352,500,OfficeE,270.000000000001
280592,2178.66616226764,4068.28518944353,500,OfficeE,270.000000000001
285597,-8688.10775489081,3409.02256416367,4000,,7.01670929853488E-15
285606,-7588.10775489112,3409.02256416371,4000,,7.01670929853488E-15
285615,-6490.10775489112,3409.02256416371,4000,,7.01670929853488E-15
285624,-6072.71376885248,4675.82753300209,4000,,180
285633,-7172.71376885248,4675.8275330021,4000,,180
285642,-8270.71376885248,4675.82753300211,4000,,180
285651,-8720.14794274303,1276.31937470292,4000,,7.01670929853488E-15
285660,-7620.14794274303,1276.31937470292,4000,,7.01670929853488E-15
285669,-6522.14794274303,1276.31937470292,4000,,7.01670929853488E-15
285678,-4657.84026677366,-4806.8756564587,4000,,180
285687,-5757.84026677366,-4806.87565645871,4000,,180
285696,-6855.84026677366,-4806.8756564587,4000,,180
285705,3731.85205725698,-2629.0510823723,4000,,7.01670929853488E-15
285714,4831.85205725698,-2629.0510823723,4000,,7.01670929853488E-15
285723,5929.85205725698,-2629.0510823723,4000,,7.01670929853488E-15
285732,6347.24604329563,-1362.24611353392,4000,,180
285741,5247.24604329563,-1362.24611353391,4000,,180
285750,4149.24604329562,-1362.2461135339,4000,,180
285759,-685.276640282525,-2629.05108237227,4000,,7.01670929853488E-15
285768,414.723359717467,-2629.05108237227,4000,,7.01670929853488E-15
285777,1512.72335971748,-2629.05108237228,4000,,7.01670929853488E-15
285786,1930.11734575612,-1362.24611353389,4000,,180
285795,830.117345756123,-1362.24611353388,4000,,180
285804,-267.882654243887,-1362.24611353387,4000,,180
285813,3770.65901308816,4487.67917548213,4000,,90.0000000000007
285822,3770.65901308816,3387.67917548213,4000,,90.0000000000007
285831,3770.65901308816,2289.67917548213,4000,,90.0000000000007
285840,5037.46398192654,1872.28518944348,4000,,270.000000000001
285849,5037.46398192655,2972.28518944348,4000,,270.000000000001
285858,5037.46398192656,4070.28518944348,4000,,270.000000000001
285867,911.861193429246,4485.67917548216,4000,,90.0000000000006
285876,911.861193429255,3385.67917548217,4000,,90.0000000000006
285885,911.861193429255,2287.67917548216,4000,,90.0000000000006
285894,2178.66616226764,1870.28518944352,4000,,270.000000000001
285903,2178.66616226765,2970.28518944352,4000,,270.000000000001
285912,2178.66616226764,4068.28518944353,4000,,270.000000000001
