ID,x,y,z,angle,room
278973,60227.1466456083,-9536.23903226913,500,0,OfficeA
279042,61327.1466456083,-9536.23903226914,500,0,
279053,62425.1466456083,-9536.23903226914,500,0,
279071,62425.1466456083,-8265.97870892841,500,180,
279075,61325.1466456083,-8265.9787089284,500,180,
279079,60227.1466456083,-8265.97870892839,500,180,
280153,60195.1064577564,-11668.9422217299,500,0,
280157,61295.1064577564,-11668.9422217299,500,0,
280161,62393.1064577564,-11668.9422217299,500,0,
280240,63840.0201476871,-17748.6818983892,500,180,
280244,62740.0201476871,-17748.6818983892,500,180,
280248,61642.0201476871,-17748.6818983892,500,180,
280307,72647.1064577564,-15574.3126788051,500,0,
280311,73747.1064577564,-15574.3126788051,500,0,
280315,74845.1064577564,-15574.3126788051,500,0,
280319,74845.1064577564,-14304.0523554644,500,180,
280323,73745.1064577564,-14304.0523554644,500,180,
280327,72647.1064577564,-14304.0523554644,500,180,
280368,68229.9777602169,-15574.3126788051,500,0,
280372,69329.9777602169,-15574.3126788051,500,0,
280376,70427.9777602169,-15574.3126788051,500,0,
280380,70427.9777602169,-14304.0523554644,500,180,
280384,69327.9777602169,-14304.0523554644,500,180,
280388,68229.9777602169,-14304.0523554644,500,180,
280548,72475.4887433171,-8664.55173671885,500,90.0000000000003,
280552,72475.4887433171,-9764.55173671885,500,90.0000000000003,
280556,72475.4887433171,-10862.5517367188,500,90.0000000000003,
280560,73745.7490666578,-10862.5517367189,500,270.000000000001,
280564,73745.7490666578,-9762.55173671889,500,270.000000000001,
280568,73745.7490666578,-8664.55173671889,500,270.000000000001,
280572,69616.6909236582,-8666.55173671882,500,90.0000000000002,
280576,69616.6909236582,-9766.55173671881,500,90.0000000000002,
280580,69616.6909236582,-10864.5517367188,500,90.0000000000002,
280584,70886.9512469989,-10864.5517367188,500,270.000000000001,
280588,70886.9512469989,-9764.55173671886,500,270.000000000001,
280592,70886.9512469989,-8666.55173671885,500,270.000000000001,
